Id,ParentId,Name,Active
100,<null>,Gasoline,1
101,100,85,1
102,100,87,1
103,100,88,1
104,100,89,1
105,100,90,1
106,100,91,1
107,100,92,1
108,100,93,1
109,100,94,1
110,100,95,1
111,100,95+,1
112,100,98,1
113,100,98+,1
114,100,100,1
115,100,86,1
116,100,96,1
117,100,97,1
118,100,102,1
200,<null>,Diesel,1
201,200,ON,1
202,200,ON+,1
203,200,1D,1
204,200,2D,1
205,200,4D,1
206,200,ULSD,1
207,200,B2,1
208,200,B5,1
209,200,B20,1
210,200,B99,1
211,200,B100,1
212,200,B95,1
213,200,ULSD 10ppm,1
214,200,ULSD 50ppm,1
215,200,SD 500ppm,1
216,200,DEF,1
300,<null>,Ethanol,1
301,300,E5,1
302,300,E10,1
303,300,E22,1
304,300,E50,1
305,300,E85,1
306,300,E93,1
307,300,E100,1
308,300,E70,1
309,300,E27,1
310,300,E15,1
400,<null>,LPG/GPL,1
401,400,GPL/LPG,1
500,<null>,CNG,1
501,500,CNG,1
600,<null>,Electricity,1
601,600,AC 240V,1
602,600,DC 500 Fast Charge,1
700,<null>,Flex,1
217,200,AdBlue,1
